"category","question","answer"
"General","This is the fear of enclosed spaces.","Claustrophobia"
"General","How many letters does abbreviation have?","12"
"General","As fit as a(n) ··········.","fiddle"
"General","what looney toons character used a univac to solve a mystery","porky pig"
"General","What is the major german airline (member of star alliance)?","Lufthansa"
"General","The teeth used for biting or cutting are known as ·······.","incisors"
"General","Porky Pig had a girlfriend named ········.","Petunia"
"General","Wage per hour (4)","rate"
"General","Who did 'Tennis World' name rookie of the year in 1974?","Martina Navratilova"
"General","What is the only country that has never imposed censorship for adult films?","Belgium"
"General","Sartre, de Beauvoir and Camus all belonged to this philosophical movement.","Existentialism"
"General","-ologies: Study of the history and development of words?","etymology"
"General","Of the 266 popes, how many died violently?","thirty three"
"General","Margaret Thatcher was what?","First Woman Prime Minister"
"General","(Eddie Cantor) The most common reason for divorces is ... ?","Men and women"
"General","The smallpox vaccine was invented in 1763, 1784 or 1798?","1798"
"General","What element has the periodic table name Na ?","Sodium"
"General","What was the name of Han Solo's spaceship in "Star Wars"?","The Millenium Falcon"
"General","The force that brings moving bodies to a halt is _________.","Friction"
"General","A heavenly body moving under the attraction of the Sun and consisting of a nucleus and a tail is a(n) _______.","Comet"
"General","Who starrs as The Riddler/ Edward Nygma in "Batman Forever"","Jim Carrey"
"General","What river is known as China's Sorrow?","The Yellow"
"General","What does the abbreviation a.m. stand for?","Ante Meridian"
"General","Circuits can be wired in parallel or ······?","series"
"General","Similes: As sly as a(n) __________.","Fox"
"General","Name the capital city of Rhode Island.","Providence"
"General","What is the atomic number of Bromine?","thirty five"
"General","What actress has received the most Oscar nominations?","Katherine Hepburn"
"General","what state is the 'badger state'","wisconsin"
"General","In which sport is the America's Cup awarded?","Sailboat Racing"
"General","What is Smokey Stover's job?","Fireman"
"General","Football: The Seattle ·······.","Seahawks"
"General","What 'D' goes before wit, weather and wine?","dry"
"General","At the equator, what is the brightest star in the night sky?","Sirius"
"General","The song Proud Mary was writted by ....?","Creedence Clearwater Revival"
"General","This weapon lends its name to a type of woman's shoe with a slender, tapered high-heel.","Stiletto"
"General","What is the capital of Nauru?","Yaren"
"General","On 'Dragnet', who played officer Bill Gannon?","Harry Morgan"
"General","This band was named band of the year in America in 1969?","Creedence Clearwater Revival"
"General","What is the largest denomination dollar bill issued?","$100"
"General","Frankfort is the capital of which state?","Kentucky"
"General","... is a philosophical position maintaining that our minds gain knowledge independently of experience through innate ideas or mental faculties.","A priorism"
"General","In 1976, James Hunt was disqualified after winning which Grand Prix?","British"
"General","The name "Lego" comes from which Danish words ?","leg godt"
"General","Surfing is believed to have originated here.","Hawaii"
"General","What is the Old English word for 'sneeze'?","fneasan"
"General","Ulna, radius, and clavicle are types of __________.","Bones"
"General","The study of religion is _________.","Theology"
"General","s the title","]"
"General","What country does the island of Mykonos belong to?","Greece"
"General","Name the sea north of Alaska.","Beaufort Sea"
"General","What is the smallest Canadian province?","Prince Edward Island"
"General","This racist organization was formed in Tennessee in 1865.","The Ku Klux Klan"
"General","As nervous as a long-tailed cat in a room full of ······?","rocking chairs"
"General","Peace and ·········.","quiet"
"General","What is the world's longest snake?","python"
"General","what are catalogued under the dewey decimal system","books"
"General","What is the technical name for 'falling stars'?","meteors"
"General","He was elected President of France, in 1981.","Francois Mitterrand"
"General","Name the apartments the Jetson's live in.","The Skypad Apartments"
"General","Multiple Meanings:  Drinking utensils or sight-enhancers.","glasses"
"General","Where were the 1992 Olympics held ?","Barcelona, Spain"
"General","(Mathematics) What is the name given to the number equal to 10 raised to the power of 100?","A "googol""
"General","This spikey succulent, native of Africa, is often an additive in creams and lotions.","aloe vera"
"General","Who's mugshot number was BK4454813?","Hugh Grant"
"General","Which group sang the song "Rollin"?","Limp Bizkit"
"General","Who were Lucy and Ricky's next door neighbours and best friends?","Fred and Ethel"
"General","Name the Oscar-winning actor who played Ron Jenkins in TVs Coronation Street?","Ben Kingsley"
"General","What famous stone structure is located near Salisbury ?","Stonehenge"
"General","What is the smallest independent state in the world?","Vatican City"
"General","These are the two highest valued letters in "Scrabble".  "Q" and _____.","Z"
"General","In 'Gone With the Wind', Scarlett regains her wealth by investing in what type of business?","A sawmill"
"General","He is said to have fiddled while Rome burned.","Nero"
"General","Who's X-Men's Xavier arch enemy","Magneto"
"General","What is the heaviest class of weight-lifting?","Super heavyweight"
"General","What is the name of the office used by the president in the Whitehouse?","Oval office"
"General","What is the royal disease?","haemophilia"
"General","This ugly creature has patches of red on his rear-end.","Mandrill"
"General","What is the Roman numeral for fifty?","L"
"General","What is the most widely accepted theory for the creation of the universe?","Big Bang"
"General","What state is also called the 'Garden State'?","New Jersey"
"General","Who was Chief Marshall of the Mickey Mouse Club?","Walt Disney"
"General","Name the largest cathedral in the world.","St. Peter's"
"General","Little round chocolate candies are known as _&m's.","m"
"General","Who says, "Th-th-th-that's all folks!"","Porky Pig"
"General","the largest rough diamond is a?","Cullinan"
"General","An angle greater than 90 degrees and less than 180 degrees is said to be ·········.","obtuse"
"General","What is the symbol for Iron?","Fe"
"General","-isms: Indifference to pleasure of pain; Greek philosophical system following the teachings of Zeno?","Stoicism"
"General","Where is Stone Mountain?","Atlanta"
"General","In which country is the famous Maracana stadium?","brazil"
"General","What colour on black produces the most visible combination?","yellow"
"General","Which gestalt entity produced the cult TV show Red Dwarf ?","(Grant( &| and|,)? Naylor|Naylor( &|and|,) Grant)"
"General","How many stitches are on a regulation baseball?","108"
"General","What title to the Ambassadors of Britian Get given?","Ambassador to the Court of Saint James"
"General","(Woody Allen) What if everything is an illusion and nothing exists? In that case, I definitely ... ?","overpaid for my carpet"
"General","Which meteor shower occurs on the 21st October ?","Orionids"
"General","Cetology is the study of ________.","Whales"
"General","What is the name used to describe the "minor planets"?","Asteroids"
"General","Edward Nygma is also knows as ...","Riddler"
"General","What was Rocky's nickname in the ring?","The Italian Stallion"
"General","U.S. President, John Quincy ________.","Adams"
"General","Which famous museum is in Paris, France?","Louvre"
"General","Arc, radius, and sector are parts of a(n) _________.","Circle"
"General","Rabat is the capital of which country?","Morocco"
"General","For which cartoon character was Beethoven a favourite composer?","Shroeder"
"General","Animals that once existed but don't exist now are said to be ______.","Extinct"
"General","What state was the home to Mayberry?","North Carolina"
"General","--isms:  The theory that man cannot prove the existence of a god.","Agnosticism"
"General","Which behaviorist conducted the "Little Albert" experiment?","John Watson"
"General","As easy as ········.","pie"
"General","who coined the term 'bit'","john tukey"
"General","What is the currency of Vietnam?","dong"
"General","In which year were the first winter Olympics held?","1924"
"General","What is the name of the Family Circus's dog?","Barf"
"General","A chinese imperial dragon has how many toes?","five"
"General","Which was the first rock group to use lasers in a live performance?","The Who"
"General","Who had the nickname 'Golden Bear'?","Jack Nicklaus"
"General","Where in Europe it is illegal to flush the toilet after 10 P.M. if you live in an apartment?","Switzerland"
"General","Indifference to pleasure or pain; Greek philosophical system following the teachings of Zeno.","stoicism"
"General","Music: This Vienese piano manufacturer includes 3 extra bass keys. It is the favorite piano of such performers as Tori Amos.","Bosendorfer"
"General","To where do Muslims make pilgrimage?","Mecca"
"General","where is the comemoration statue of fictional character Sherlock holems?","Baker Street, london"
"General","(William Faulkner) She tried to sit in my lap, while I was ... ?","standing"
"General","What did North American Indians eat to dissolve gravel and stones in the bladder?","watercress"
"General","What element has the periodic table name Au ?","Gold"
"General","What country is directly north of Israel?","Lebanon"
"General","What hobby was developed by the Palmer Paint Company?","Painting by numbers"
"General","The filament of a regular light bulb is usually made of ________.","Tungsten"
"General","Sodium Hydroxide is more commonly known as _________.","Lye"
"General","Who starrs as Batman/ Bruce Wayne in "Batman Forever"","Val Kilmer"
"General","Which U.S. state receives the most rainfall?","Hawaii"
"General","He designed the first feasible automobile with an internal combustion engine.","Karl F. Benz"
"General","What is the only insect that can turn its head?","praying mantis"
"General","-isms: An economic system characterized by private ownership and competition.","Capitalism"
"General","In which state is the Mayo Clinic?","Minnesota"
"General","What is the atomic number of Molybdenum?","forty two"
"General","Where are the Nazca Lines?","Peru"
"General","what state is the 'sooner state'","oklahoma"
"General","In which sport is the term "wishbone" used?","Football"
"General","In what city does Fat Albert live?","Philadelphia"
"General","Hockey: The Boston ···········.","Bruins"
"General","What 'D' goes before centre, line and cert?","dead"
"General","Excluding the sun, what star is closest to the earth?","Proxima Centauri (aka Alpha Centauri)"
"General","What is the capital of the Northern Territorry of Australia?","Darwin"
"General","What is this sign called "*"?","asterisk"
"General","What is the capital of Belize?","Belmopan"
"General","On 'The Lucy Show', who played Vivian Bagley?","Vivian Vance"
"General","The Colosseum received its name not for its size, but for a colossal statue of who that stood close by?","Nero"
"General","What is the world's highest city?","Lhasa, Tibet"
"General","... is a term used to identify a type of knowledge which is obtained independently of experience.","A priori"
"General","Name the first automobile racetrack in America.","Indianapolis Motor Speedway"
"General","The second Beale code was encoded using what ?","The American Declaration of Independence"
"General","What are large snow bumps known as in skiing terms?","Moguls"
"General","What is the Spanish word for 'festival'?","fiesta"
"General","Pulp, crown, and root are parts of a(n) ________.","Tooth"
"General","The art of tracing designs and taking impressions of them is _______.","Lithography"
"General",""Is he Man or Monster or... is he both?" covers #1 issue of what comic","The Incredible Hulk"
"General","On what peninsula are Spain and Portugal located?","The Iberian Peninsula"
"General","What is the capital of Florida?","Tallahassee"
"General","Which U.S. city is known as the Biggest Little City in the World?","Reno, Nevada"
"General","This French peasant girl led the army to victories.","Joan of Arc"
"General","As sick as a ······?","dog"
"General","A castle or enclosed place.","FORt"
"General","Who invented the electrical bass?","Leo Fender"
"General","what's heaven to fallen norse warriors","valhalla"
"General","What planet is nearest the sun?","Mercury"
"General","What is Blondie's maiden name?","Boopadoop"
"General","Multiple Meanings:  Slamming your hands together quickly, or a venereal disease.","clap"
"General","How is the chess term "shah mat" better known ?","Checkmate"
"General",""Carmine" is a shade of which color?","red"
"General","What gives leaves their colour ?","Chlorophyll"
"General","Which Batman TV villain leads the Molehill Mob?","riddler"
"General","Which group sang the song "All The Small Things"?","Blink 182"
"General","Over what place in india is it forbidden to fly an airplane?","Taj Mahal"
"General","Which two British cities, along with ancient Rome, were built on seven hills?","Edinburgh and Sheffield"
"General","What is e.g. an abbreviation of ?","exempli gratia"
"General","Which state is the Garden State?","New Jersey"
"General","He led the Mormons to the Great Salt Lake.","Brigham Young"
"General","Name the last province to become part of Canada.","Newfoundland"
"General","What's the real name of X-Men's Gambit?","Remy LeBeau"
"General","In which city is the Hockey Hall of Fame located?","Toronto, Canada"
"General","What is viewed during a a pyrotechnic display?","fireworks"
"General","What is the tibia more commonly known as?","shin bone"
"General","An angle greater than 180 degrees and less than 360 degrees is a(n) ________ angle.","Reflex"
"General","Acrophobia is a fear of ___________.","Heights"
"General","What was created with the big bang?","Universe"
"General","What state is the 'Hoosier State'?","Indiana"
"General","What did Jeannie C. Riley describe as "a little Peyton Place"?","Harper Valley"
"General","What is the capital of Zimbabwe?","Salisbury"
"General","Mustard, ketchup and onions on a hotdog are all ··········.","condiments"
"General","Name the European hit, now an animated series about underwater people.","The Snorks"
"General","Yogi Bear's sidekick was?","boo boo"
"General","An integer that is greater than 1 and is divisible only by itself and 1 is known as a(n) ·······.","prime"
"General","A heavenly body moving under the attraction of the Sun and consisting of a nucleus and a tail is a(n) ·····.","comet"
"General","Whats the chemical symbol for Helium ?","He"
"General","If bats are nocturnal and horses diurnal, then coyotes and others animals that roam at dawn and the twilight hours are called?","crepuscular"
"General","Where were Tommy Lee Jones and Al Gore freshman roommates?","Harvard University"
"General","On maps, what is the technical name for the 'you are here' arrow?","ideo locator"
"General","Which is the largest of the Egyptian Pyramids ?","Pyramid of Cheops"
"General","In baseball, who won their first world series in 1969?","New York Mets"
"General","Who was the youngest American President","Theodore Roosevelt"
"General","(Groucho Marx) I find television very educating. Every time somebody turns on the set ... ?","I go into the other room and read a book"
"General","Which meteor shower occurs on the 4th May ?","Eta Aquarids"
"General","With what body part is otology involved?","Ear"
"General","Prosthetics deals with the making of __________.","Artificial limbs"
"General","Edward Nygma is also knows as ...","The Riddler"
"General","Film Title: ______: A Space Oddessey.","2001"
"General","This Spaniard conquered Mexico.","Hernando Cortes"
"General","Which nationality calls Munich the 'Monaco of Bavaria'?","Italians"
"General","Knife, Clown, and Pencil are types of __________.","Fish"
"General","In what city is the Leaning Tower?","Pisa"
"General","How many freckles did Howdy Doody have?","forty eight"
"General","What is the chemical symbol for copper?","Cu"
"General","What was the name of the Akla-Seltzer boy?","Speedy"
"General","What word contains the combination of letters: "xop"?","SaXOPhone"
"General","He developed the theory of the 'collective unconscious' and was also interested in dream interpretation.","Carl Gustav Jung"
"General","As good as ·········.","gold"
"General","what winter game resembles lawn bowling","curling"
"General","What is the currency of Slovenia?","tolar"
"General","What colour do you get when you mix blue and red together?","Purple"
"General","What was Daffy Duck's favorite insult?","You're dispicable!"
"General","What is the monetary unit of Malaysia?","ringgit"
"General","What did Alfred Hitchcock Fear?","Eggs"
"General","Who has played in the most consecutive baseball games?","Cal Ripken Jr"
"General","At funerals in ancient China, when the lid of the coffin was closed, mourners took a few steps backward incase their WHAT got caught in the box?","shadow"
"General","What does SOS stand for","Save Our Souls"
"General","This instrument has black and white keys?","piano"
"General","What is God called in the Muslim faith?","Allah"
"General","What does the chort for of ctc stand for?","Care to Chat"
"General","(Luis Bunuel) Thank god that I am still an ... ?","atheist"
"General","What does a sphygmomanometer measure?","blood pressure"
"General","What element has the periodic table name Sn ?","Tin"
"General","St. George's is the capital city of what island country?","Grenada"
"General","Who invented painting by numbers?","palmer paint company"
"General","The largest single organ of the human body is the ________.","Skin"
"General","Which river contains the most fresh water?","Amazon"
"General","Who starrs as Harvey "Two-Face" Dent in "Batman Forever"","Tommy Lee Jones"
"General","What country has the world's most southerly city?","Chile"
"General","This is known as "The Royal Disease".","Hemophilia"
"General","Analogy: bull - cow as fox - __________.","Vixen"
"General","What European country administers the island of Martinique?","France"
"General","What is the atomic number of sulphur?","16"
"General","How many astronauts manned each Apollo flight?","3"
"General","what state is the 'buckeye state'","ohio"
"General","In which city is Wembley Stadium?","London"
"General","Name Alvin & Simon's brother was ________?","Theodore"
"General","Hockey: The Buffalo ·········.","Sabres"
"General","What 'C' is a type of tank or the leader of a tribe?","chieftan"
"General","How many moons does Mercury have?","none"
"General","Where is the famous Blaze nightclub located?","Melbourne"
"General","How many lines make up a number on a digital clock?","Seven"
"General","What is the capital of Dominica?","Roseau"
"General","TV series: 'American ······'?","Bandstand"
"General","The only McDonald’s restaurant in the world built on a horse-racing course is in?","Hong Kong"
"General","This Toy is based on a Filipino Hunters Weapon what is it?","Yo Yo"
"General","Name the desrt located in south-east California.","Mojave Desert"
"General","... maintained that knowledge comes from foundational concepts known intuitively through reason, such as innate ideas. Other concepts are then deductively drawn from these.","Continental Rationalists"
"General","Over what time period is the Le Mans endurance motor race?","Twenty four hours"
"General","The term Bicentennial represents how many years ?","200"
"General","She was "Sports Illustrated's" first female "Sportsman of the Year".","Billie Jean King"
"General","What is the language of Hungary?","Magyar"
"General","Cocktails: Whiskey, hot coffee, and whipped cream make a(n) _________.","Irish Coffee"
"General","Nuclear membrane, cytoplasm, and nucleus are parts of a(n) __________.","Cell"
"General",""Heavy Metal" hit the newsstands in which year","1977"
"General","What city is associated with Alcatraz?","San Francisco"
"General","What do the letters ERA mean in baseball?","Earned Run Average"
"General","What is the capital of the United Arab Emirates?","Abu Dhabi"
"General","This Sioux Indian toured with Buffalo Bill's Wild West Show.","Sitting Bull"
"General","As pretty as a ······?","picture"
"General","Make holes through something.","perFORate"
"General","What's the name of B.B. King's guitar?","Lucille"
"General","what has no reflection, no shadow, and can't stand the smell of garlic","a vampire"
"General","When does a full moon rise?","sunset"
"General","What kind of dog is Scooby Doo?","A Great Dane"
"General","Name the soda that is often confused with a drug.","Coke"
"General","How many pieces are found in a chess set ?","32"
"General","What is the full name of the flavour enhancer MSG?","Monosodium glutamate"
"General","What is the term for a tree which sheds its foliage at the end of the growing season?","deciduous"
"General","Who is the famous giantkiller?","jack"
"General","Which group sang the song "Picture Of You"?","Boyzone"
"General","What colour thread is used for filigree?","silver or gold"
"General","Who invented Lava Lamps?","Craven Walker"
"General","What is Interpol short for ?","International Criminal Police Commission"
"General","Halifax is the capital of which Canadian province?","Nova Scotia"
"General","He discovered the Grand Canyon.","Francisco Coronado"
"General","A coral island consisting of a ring of rock enclosing a central lagoon is a(n) ________.","Atoll"
"General","Which character sang 'Come Out, Come Out, Wherever You Are' in "The Wizard of Oz"?","Glinda, the Good Witch of the North"
"General","What is it called when a football team loses possession of the ball due to a misplay?","A turnover"
"General","What system do the blind use for reading?","braille"
"General","What muscle is joined by the lingual nerve to the brain?","tongue"
"General","An integer that is greater than 1 and is divisible only by itself and 1 is known as a(n) _______.","Prime number"
"General","Vermicelli literally means ___________.","Little worms"
"General","What is kaolin?","pure china clay"
"General","Where are the headquarters of the CIA?","Langley, Virginia"
"General","What's Penthouse's sister publication for women?","Viva"
"General","The Little Mermaid is found in the harbour of which city?","Copenhagen"
"General","Name the only fruit named for its color.","orange"
"General","Name Li'l Abner's favorite Indian drink.","Kickapoo Joy Juice"
"General","what is the ultimate meta syntactical variable","foo"
"General","Arc, radius, and sector are parts of a(n) ·········.","circle"
"General","From 1979 until 2000 the most distant planet from the earth was ·······.","Neptune"
"General","When traces of a calcium compound are held in a bunsen flame, the colour of the flame changes to ...?","red"
"General","Synonymous with obituary; a list of recently deceased.?","necrology"
"General","Which city is a 'player with railroads, and the nation's freight handler'?","Chicago"
"General","The last line of which document is 'working men of all countries, unite!'?","Communist Manifesto"
"General","Which Japanese suicide technique translates to the English "belly cutting" ?","Hara-kiri"
"General","In hockey, what is the equivalent of a rugby scrum?","face-off"
"General","What was the first credit card called?","Diner´s Club"
"General","(Groucho Marx) From the moment I picked up your book until I laid it down, I was convulsed with laughter. Some day I ... ?","intend to read it"
"General","Which meteor shower occurs on the 4th November ?","Taurids"
"General","The koala bear eats the leaves from this tree.","The eucalyptus"
"General","What branch of science studies the motion of air and the forces acting on objects in air?","Aerodynamics"
"General","Professor Xavier: character of Marvel, Image, DC, Dark Horse, Fantagraphics","Marvel"
"General","Actor: _______ Borgnine.","Ernest"
"General","This assassin of Julius Caesar was his friend.","Marcus Brutus"
"General","Germany's equivalent to the dollar is the ······?","deutsche mark"
"General","Corolla, filament and stigma are parts of a(n) _________.","Flower"
"General","Into what body of water does the Danube River flow?","The Black Sea"
"General","The maiden names of which two cartoon characters are Slaghoople and Mcbricker?","Wilma Flintstone and Betty Rubble"
"General","What is a sorcerer who deals in black magic called?","Necromancer"
"General","What comic strip is set at Camp Swampy?","Beetle Bailey"
"General","A clip, shaped like a bar to keep a woman's hair in place is a _______.","Barrette"
"General","A psychological disorder in which the patient refuses to eat.","anorexia nervosa"
"General","As graceful as a(n) ·········.","swan"
"General","what knicks player went 2 for 18 in the 1993 nba finals (first and last names)","john starks"
"General","What is the art of creating decorative shapes by trimming trees and shrubs?","topiary"
"General","What colour do you get when you mix blue and yellow together?","Green"
"General","When not fighting crime, what did Underdog do for a living?","shoeshine boy"
"General","From which country is UN Secretary General Kofi Annan?","Ghana"
"General","What is the name given to jealousy shown towards a new baby by an older brother or sister?","Sibling Rivalry"
"General","Who holds the NHL record for the most goals scored during a regular season?","Wayne Gretzky"
"General","In what city in Georgia is it illegal to tie a giraffe to a telephone pole or street lamp?","Atlanta"
"General","What does the abbreviation N/A mean?","not applicable"
"General","Homonyms: To burn or char/a prophet or diviner. (answer in the form of word1/word2)","Sear/Seer"
"General","What is a person who has made a pilgimage to Mecca?","Hajji"
"General","(W.C.Fields) Who removed the cork from my ... ?","lunch"
"General","What does hepatitis affect?","liver"
"General","What element has the periodic table name Sb ?","Antimony"
"General","In which state is Mount St. Helens?","Washington"
"General","How many years in a vicennial?","twenty"
"General","The study of natural phenomena: motion, forces, light, sound, etc. is called ______.","Physics"
"General","What is a skin specialist called?","Dermatologist"
"General","Who directed Batman Forever (1995)","Joel Schumacher"
"General","In which country would you find the Yucatan Peninsula?","Mexico"
"General","Quinine is added to water to make _______.","Tonic water"
"General","Where is Sir Herbert Baker buried?","Westminster Abbey"
"General","Cocktails: Bourbon, sugar and mint make a(n) ___________.","Mint Julep"
"General","This is the port city serving Tokyo.","Yokohama"
"General","What is the atomic number of uranium?","ninety two"
"General","What's the telephone area code for Chicago?","312"
"General","who played garth in wayne's world","dana carvey"
"General","In which sport is the term "love" used?","Tennis"
"General","An alien creature in a funny hat has opposed both Bugs Bunny and Daffy Duck.  Where is he from?","Mars"
"General","Hockey: The Calgary ··········.","Flames"
"General","What 'B' comes before man, seller and and foot forward?","best"
"General","In what year was Neptune discovered?","1846"
"General","What part of the human body grows to 20 times its size at birth?","nose"
"General","In what country is The Blue Lagoon?","Iceland"
"General","To which elemetary school did TV's 'Brady Bunch' go?","Dixie Canyon Elementary"
"General","by what name is Allen Konigsberg better known?","Woody Allen"
"General","What river is called "Old Man River"?","Mississippi"
"General","... refers to the 18th century philosophical movement in Great Britain which maintained that all knowledge comes from experience","British Empiricism"
"General","To which team did Marlboro switch its backing from BRM in the 1974 season?","Mclaren"
"General","The term Quadricentennial represents how many years ?","400"
"General","Baseball: The Toronto _________.","Bluejays"
"General","What is the literal meaning of 'pince-nez'?","pinch nose"
"General","Myositis affects the _________.","Muscles"
"General","Brontophobia is the fear of _________.","Thunder"
"General","Which US publication roots in french comic book "Metal Hurlant"","Heavy Metal"
"General","What is the capital of Washington state?","Olympia"
"General","What number is on the opposite side of the "five" on dice?","Two"
"General","Dense sea-water swamps along coasts of hot countries are called ________.","Mangroves"
"General","This animal is the symbol of the U.S. Republican Party.","Elephant"
"General","As hard as ·······?","nails"
"General","Many trees.","FORest"
"General","What was Simple Simon fishing for in his mother's pail?","a whale"
"General","what unit of currency will buy you dinner in iraq, jordan, Tunisia and yugoslavia","the dinar"
"General","Which is the only planet that rotates clockwise?","Venus"
"General","Tess Trueheart married which plainclothes detective?","Dick Tracy"
"General","Subject, verb and object are parts of a ·········.","sentence"
"General","Tic-Tac-Toe is based on which game ?","Nine men morris"
"General","This brand boasts 57 varieties?","Heinz"
"General","What game of chance is physically the most demanding for the loser?","russian roulette"
"General","Which group sang the song "Its Gonna Be Me"?","N'Sync"
"General","What was the name of the first space shuttle ever built?","Enterprise"
"General","In what year were pubs in England allowed to open from 11am to 11pm?","1988"
"General","What is Harry Houdini famous for being ?","Escapologist"
"General","Kingston is the capital of which country?","Jamaica"
"General","What group landed in America in 1620?","The Pilgrims"
"General","A terrapin is a type of _________.","Turtle"
"General","What is the name of the Volkswagen in the film, "The Love Bug"?","Herbie"
"General","Britain and Argentina fought over these islands in 1982.","Falkland Islands"
"General","Which of the X-Men was a thief","Gambit"
"General","In the field of psychiatry this term means self-love.","Narcissism"
"General","The mathematical study of properties of lines, angels, etc., is ________.","Geometry"
"General","What is liquid clay used in pottery called?","slip"
"General","Which date is inscribed on the book held by the Statue Of Liberty?","July 4 1776"
"General","What was the first network series devoted entirely to rock and roll?","American Bandstand"
"General","Name the smallest of the Great Lakes.","Lake Ontario"
"General","Often drunk, this liquid is normally harvested from female cows.","milk"
"General","Name Cathy's on again/off again boy friend?","Irving"
"General","Who invented the television?","John Logie Baird"
"General","How many nickles are there in 2.25?","forty five"
"General","How many planets are there in our solar system?","nine"
"General","Which Russian chemist (1834-1907) founded our modern periodic table?","Dmitry Ivanovich Mendeleyev"
"General","Linen is obtained from the fibers of what plant?","flax"
"General","Which two cities are known as the twin cities?","Minneapolis and Saint Paul"
"General","Which word is used to mean, malicious enjoyment at the misfortunes of others ?","Schadenfreude"
"General","In rugby, what is the equivalent of a hockey face-off?","scrum"
"General","(Benjamin Franklin) Never confuse motion with ... ?","action"
"General","Which planet is covered in thick clouds of carbon dioxide and sulphuric acid ?","Venus"
"General","A loss of memory is known as __________.","Amnesia"
"General","A "sirocco" refers to a type of __________.","Wind"
"General","The Joker: character of Marvel, Image, DC, Dark Horse, Fantagraphics","DC"
"General","He played Superman in the 1978 movie version.","Christopher Reeves"
"General","What does the acronym CIA stand for?","Central Intelligence Agency"
"General","Israel's equivalent to the dollar is the ······?","shekel"
"General","Analogies: 'Ancient' is to 'old' as 'recent' is to ________.","Current"
"General","What south American country has both a Pacific and Atlantic coastline?","Colombia"
"General","What are the names of Donald Duck's nephews?","Huey Dewey and Louey"
"General","The effect produced when sound is reflected back is known as a(n) _______.","Echo"
"General","Which of Paul Simon's musical characters was told to hop on the bus?","Gus"
"General","A phrenologist reads _________.","Skulls"
"General","What is the current world population, to the nearest billion?","six"
"General","As large as ········.","life"
"General","what are standard phone lines called (4-letter acronym)","pots (plain old telephone service)"
"General","What is the URL for the quiz website?","http://www.meta-x.de/quiz"
"General","Complete the Palindrome: satan, oscillate my metallic ________","sonatas"
"General","Who is Scooby Doo's nephew??","Scrappy Doo"
"General","Who is the current Secretary General of the United Nations?","Kofi Annan"
"General","Who is the patron saint of lovers?","Saint Valentine"
"General","Who hosted the 1999 cricket World Cup?","England"
"General","What was originally called the Chinese gooseberry?","kiwi"
"General","What statuette is awarded annually for the best television commercial?","Clio"
"General","Famous Lyrics: "There's a lady who knows all that glitters is gold and she's _____ _ _____ __ _____"","buying a stairway to heaven"
"General","What religious movement was founded by William Booth?","Salvation Army"
"General","(Groucho Marx) I knew Doris Day before she became a ... ?","virgin"
"General","What instrument measures blood pressure?","sphygmomanometer"
"General","What is brine ?","Salt water"
"General","What is the largest city in Australia, in terms of population?","Sydney"
"General","What animal has the same name as a high church official?","cardinal"
"General","Who hit the first golf shot on the moon?","Alan Sheppard"
"General","Name the largest artery in the human body.","Aorta"
"General","What does "Ursa Major" mean in everyday English?","Big Bear"
"General","Who is the Dark Knight of Gotham City, Bruce Wayne","Batman"
"General","What city is on Lake Erie at the mouth of the Cuyahoga River?","Cleveland"
"General","What is the name for a group of stars?","Constellation"
"General","For how much did an American urologist buy Napoleon's penis? (US Dollars)","$3800"
"General","Similes: As fit as a(n) __________.","Fiddle"
"General","What is the capital of Colorado?","Denver"
"General","What is the chemical name for quicksilver?","mercury"
"General","What toe is the foot reflexology pressure point for the head?","Big Toe"
"General","who was carl in five easy pieces before going to Walton's mountain","ralph waite"
"General","Where are the U.S. Tennis Open Championships held?","Flushing Meadows, NY"
"General","Hanna-Barbera rose to fame by creating what duo for MGM?","Tom & Jerry"
"General","Hockey: The Chicago ·········.","Blackhawks"
"General","This normally has 4 legs and your butt is parked in it right now.","chair"
"General","This more efficient distillate of coal was one of the main fuels of the industrial revolution:","coke"
"General","In what year was Pluto discovered?","1930"
"General","What does UFC stand for?","ultimate fighting championships"
"General","Which light wood is commonly used for making aeromodels?","Balsa"
"General","In which country would you find the spectacular rock formation known as The Three Sisters?","Australia"
"General","What TV network features programming just for children?","Nickelodeon"
"General","The Luxor hotel in Las Vegas has the most powerful what?","light"
"General","What is PLO an abbreviation for ?","Palestine Liberation Organization"
"General","What country is Phnom Penh the capital of?","Cambodia"
"General","... entails that the individual self is either the motivating moral force and is, or should, be the end of moral action.","Egoism"
"General","What colours was the Ferrari Formula 1 car in the 1964 US Grand prix?","blue and white"
"General","The term Centennial represents how many years ?","100"
"General","What score is not possible for a cribbage hand?","19"
"General","What is the meaning of the Mercedes Benz motto 'Das beste oder nichts'?","The best or nothing"
"General","Similes: As pleased as _________.","Punch"
"General","This film starring Julie Andrews and Christopher Plummer wont he best picture Oscar for 1965.","The Sound of Music"
"General","s super-hero Daredevil","Matt Murdock"
"General","This is called the "Honeymoon Capital" of the world.","Niagara Falls"
"General","This sport is called the "American pastime".","Baseball"
"General","What is San Francisco's equivalent to Sydney's 'City To Surf' race?","Bay to Breakers footrace"
"General","Which Central American country extends furthest north?","Belize"
"General","This U.S. Secretary of State won the Nobel Peace Prize in 1973","Henry Kissinger"
"General","As sly as a ······?","fox"
"General","Pardon.","FORgive"
